                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.10643,                 1.4494,                0.19502,                0.26106,                0.88687,                0.99941,                      1,                  0.995,                  0.995,                0.99941,                      1,                  0.995,                0.82837,                0.12872,                0.81006,                 0.0489,                0.15619,                0.17987,                 0.0757,                 0.0027,                 0.0027
                      1,                0.10604,                 1.3334,                0.19175,                0.15493,                0.89293,                0.99945,                      1,                  0.995,                  0.995,                0.99945,                      1,                  0.995,                0.70507,                0.10861,                 1.2195,                0.06434,                0.14253,                0.16465,               0.050391,              0.0053911,              0.0053911
                      2,                0.12059,                 1.5007,                0.20054,                0.16001,                0.87942,                0.99943,                      1,                  0.995,                0.99426,                0.99943,                      1,                  0.995,                0.74131,                0.10109,                0.98796,                0.10139,                0.15505,                0.15886,               0.024971,              0.0079713,              0.0079713
                      3,                0.14995,                 1.4645,                0.19933,                0.18274,                0.89436,                0.99941,                      1,                  0.995,                0.99456,                0.99941,                      1,                  0.995,                0.66903,                0.11679,                 1.4065,                0.11447,                0.16935,                0.20167,               0.009406,               0.009406,               0.009406
                      4,                0.14537,                 1.5205,                  0.209,                0.18663,                  0.895,                0.99937,                      1,                  0.995,                0.99418,                0.99937,                      1,                  0.995,                0.71511,                 0.1012,                 1.1481,                0.10622,                 0.1526,                0.17992,               0.009406,               0.009406,               0.009406
                      5,                0.14162,                 1.4058,                 0.2184,                0.17673,                0.89066,                0.99932,                      1,                  0.995,                0.99446,                0.99932,                      1,                  0.995,                 0.6919,                0.12416,                 1.1207,                0.13101,                0.17393,                0.18525,               0.009208,               0.009208,               0.009208
                      6,                0.14952,                 1.3665,                0.21355,                0.19319,                0.88768,                0.99945,                      1,                  0.995,                  0.995,                0.99945,                      1,                  0.995,                0.58471,                 0.1014,                 1.7011,                0.08925,                0.15001,                0.18099,                0.00901,                0.00901,                0.00901
                      7,                0.14439,                 1.3271,                0.20448,                0.17712,                0.88794,                0.99945,                      1,                  0.995,                  0.995,                0.99945,                      1,                  0.995,                0.77577,                0.16456,                0.95763,                0.12295,                0.18258,                0.21851,               0.008812,               0.008812,               0.008812
                      8,                0.13537,                 1.3107,                0.20536,                0.17323,                 0.8885,                0.99896,                      1,                  0.995,                  0.995,                0.99896,                      1,                  0.995,                0.72172,                0.12593,                 1.1367,                0.11293,                0.17593,                0.17718,               0.008614,               0.008614,               0.008614
                      9,                0.14097,                 1.2569,                0.19842,                0.17291,                0.90109,                0.99895,                      1,                  0.995,                  0.995,                0.99895,                      1,                  0.995,                0.73206,                0.15164,                0.94072,                0.12638,                 0.1663,                0.21214,               0.008416,               0.008416,               0.008416
                     10,                0.14494,                 1.2599,                0.19888,                0.17755,                0.88824,                0.99945,                      1,                  0.995,                 0.9945,                0.99945,                      1,                  0.995,                0.68308,                0.15058,                 1.1603,                0.08211,                0.16433,                0.22269,               0.008218,               0.008218,               0.008218
                     11,                0.14102,                 1.2202,                0.20308,                0.17891,                0.89154,                0.99945,                      1,                  0.995,                  0.995,                0.99945,                      1,                  0.995,                0.74116,                0.12431,                0.88552,                0.07223,                0.15028,                0.20576,                0.00802,                0.00802,                0.00802
                     12,                0.14043,                  1.191,                0.20443,                0.17686,                0.90188,                0.99945,                      1,                  0.995,                  0.995,                0.99945,                      1,                  0.995,                0.56871,                 0.0888,                  1.529,                0.09502,                0.12264,                0.16386,               0.007822,               0.007822,               0.007822
                     13,                0.12429,                 1.2149,                0.19568,                0.16782,                0.90293,                0.99945,                      1,                  0.995,                  0.995,                0.99945,                      1,                  0.995,                0.80333,                0.11421,                0.84035,                0.07933,                0.16052,                0.17167,               0.007624,               0.007624,               0.007624
                     14,                0.13365,                 1.0955,                0.19565,                0.17437,                0.88793,                0.99946,                      1,                  0.995,                  0.995,                0.99946,                      1,                  0.995,                0.80034,                0.10918,                0.87892,                0.07655,                0.15341,                0.16395,               0.007426,               0.007426,               0.007426
                     15,                0.14271,                  1.054,                 0.1879,                0.17349,                0.88502,                0.99945,                      1,                  0.995,                  0.995,                0.99945,                      1,                  0.995,                0.71393,                  0.134,                0.94064,                0.08534,                0.17946,                0.20135,               0.007228,               0.007228,               0.007228
