                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.21228,                 1.3567,                0.32482,                 0.2583,                0.96698,                0.99741,                      1,                  0.995,                0.98559,                0.99741,                      1,                  0.995,                0.80281,                0.30487,                0.98308,                 0.2649,                0.28673,                0.57349,                 0.0928,                 0.0008,                 0.0008
                      1,                0.21357,                   1.57,                0.34104,                0.27134,                 1.0111,                0.99851,                      1,                  0.995,                0.98859,                0.99851,                      1,                  0.995,                0.77551,                0.24702,                  1.086,                0.29032,                0.23465,                0.54275,               0.084616,              0.0016158,              0.0016158
                      2,                0.20421,                 1.4829,                0.31776,                0.25152,                0.99666,                0.99843,                      1,                  0.995,                0.99278,                0.99843,                      1,                  0.995,                0.68772,                0.22511,                  1.195,                0.30473,                0.21155,                0.51776,               0.076343,              0.0023426,              0.0023426
                      3,                 0.2081,                 1.7177,                0.31869,                0.26006,                0.99517,                0.99846,                      1,                  0.995,                0.98425,                0.99846,                      1,                  0.995,                0.78359,                0.27349,                 1.0151,                0.33047,                0.25658,                0.57699,                0.06798,              0.0029802,              0.0029802
                      4,                0.19388,                 1.6482,                0.32612,                  0.255,                0.98098,                0.99858,                      1,                  0.995,                 0.9779,                0.99858,                      1,                  0.995,                0.72579,                0.27991,                  1.194,                0.23784,                0.23729,                  0.549,               0.059529,              0.0035288,              0.0035288
                      5,                0.20811,                 1.4596,                0.30514,                0.26075,                0.96993,                0.99852,                      1,                  0.995,                  0.995,                0.99852,                      1,                  0.995,                0.54621,                0.23193,                 1.7921,                0.29708,                0.22433,                0.53523,               0.050988,              0.0039882,              0.0039882
                      6,                0.20307,                 1.7716,                0.30978,                0.25852,                0.96704,                0.99856,                      1,                  0.995,                  0.995,                0.99856,                      1,                  0.995,                0.75399,                0.20528,                 1.0771,                 0.2229,                0.22434,                0.46975,               0.042359,              0.0043586,              0.0043586
                      7,                0.19179,                 1.5513,                0.30746,                0.24717,                0.95989,                0.99844,                      1,                  0.995,                  0.995,                0.99844,                      1,                  0.995,                0.44625,                0.17034,                 2.1018,                0.19722,                0.24429,                0.39321,                0.03364,              0.0046399,              0.0046399
                      8,                0.18064,                 1.8388,                0.30313,                0.24423,                0.96078,                0.99855,                      1,                  0.995,                  0.995,                0.99855,                      1,                  0.995,                0.74963,                0.20532,                 1.0888,                0.19524,                0.26648,                0.45448,               0.024832,               0.004832,               0.004832
                      9,                0.16269,                 1.5431,                0.30025,                0.22424,                0.93783,                0.99856,                      1,                  0.995,                 0.9857,                0.99856,                      1,                  0.995,                0.75275,                0.23418,                 1.1561,                 0.1939,                0.24998,                0.44826,               0.015935,              0.0049351,              0.0049351
                     10,                0.18657,                  1.497,                0.29869,                0.24226,                0.97367,                0.99855,                      1,                  0.995,                  0.995,                0.99855,                      1,                  0.995,                0.56723,                0.19633,                 1.7655,                 0.3976,                0.24001,                0.42038,               0.006949,               0.004949,               0.004949
                     11,                0.19881,                 1.6838,                0.29461,                0.25482,                0.98905,                0.99855,                      1,                  0.995,                  0.995,                0.99855,                      1,                  0.995,                0.68326,                0.22907,                 1.3721,                0.25522,                0.22192,                 0.4223,               0.004555,               0.004555,               0.004555
                     12,                0.18994,                 1.6979,                0.29857,                0.25524,                  0.952,                0.99828,                      1,                  0.995,                0.99313,                0.99828,                      1,                  0.995,                0.70084,                0.28252,                 1.2673,                0.15465,                0.26057,                0.47523,               0.004555,               0.004555,               0.004555
                     13,                0.18367,                 1.4119,                0.29337,                0.23857,                0.96526,                0.99849,                      1,                  0.995,                0.99073,                0.99849,                      1,                  0.995,                 0.6265,                0.21199,                 1.5673,                 0.1341,                0.20072,                0.40051,                0.00406,                0.00406,                0.00406
                     14,                0.17716,                 1.3483,                0.28705,                0.23423,                0.94492,                0.99853,                      1,                  0.995,                0.99183,                0.99853,                      1,                  0.995,                0.68356,                0.17944,                 1.2617,                0.14985,                0.22423,                0.33573,               0.003565,               0.003565,               0.003565
                     15,                0.17221,                 1.2395,                0.28974,                0.21841,                0.95111,                0.99855,                      1,                  0.995,                  0.995,                0.99855,                      1,                  0.995,                0.82715,                0.19588,                0.79703,                0.15625,                0.23231,                0.34001,                0.00307,                0.00307,                0.00307
